id,modern,unicode,traditional_or_variants,traditional_unicode,pinyin,radical,stroke_count,entering_tone,rhyme_group,dictionary_basis,dictionary_source_work,dictionary_source_note,dictionary_gloss,dictionary_annotation,original_meaning,modern_meanings,review_notes
038,女,U+5973,女,,nv3,女,3,no,语韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,女性|女儿|女方或女性身份|女部字义部件,女：现代主要用于表示女性；女儿；女方或女性身份；女部字义部件。常见用法如：女人、女子、女儿、女性、女工。,女性。,女性|女儿|女方或女性身份|女部字义部件,古文字姿态解释需避免现代性别刻板化叙述，后续应补字形图。
039,男,U+7537,男,,nan2,田,7,no,覃韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,男性|男子|儿子|男性身份,男：现代主要用于表示男性；男子；儿子；男性身份。常见用法如：男人、男子、男孩、男性、男女。,田间出力劳作的人，传统上指男子。,男性|男子|儿子|男性身份,“田+力”的解释反映古代生产分工，应与现代性别概念区分。
040,子,U+5B50,子,,zi3|zi,子,3,no,止韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,孩子或儿子|人或事物的称名后缀|种子或小而硬的东西|地支第一位,子：现代主要用于表示孩子或儿子；人或事物的称名后缀；种子或小而硬的东西；地支第一位。常见用法如：孩子、儿子、子女、孔子、种子。,婴儿、小孩。,孩子或儿子|人或事物的称名后缀|种子或小而硬的东西|地支第一位,说文以地支义解释较重，现代数据中应把婴儿象形与地支义分开。
041,老,U+8001,老,,lao3,老,6,no,皓韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,年纪大|时间久|经验丰富或熟练|经常|排行或尊称前缀,老：现代主要用于表示年纪大；时间久；经验丰富或熟练；经常；排行或尊称前缀。常见用法如：老人、老师、老家、老练、老是。,年老的人。,年纪大|时间久|经验丰富或熟练|经常|排行或尊称前缀,“老”“考”古义关系密切，后续应和“孝、考”并读。
042,幼,U+5E7C,幼,,you4,幺,5,no,宥韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,年纪小|幼小|初级或未成熟,幼：现代主要用于表示年纪小；幼小；初级或未成熟。常见用法如：幼儿、幼小、幼年、幼稚、幼苗。,弱小、年幼。,年纪小|幼小|初级或未成熟,“幺”的细小义是理解幼字的关键，后续可并入年龄状态字组。
043,首,U+9996,首,,shou3,首,9,no,有韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,头|最先或第一|首领|开端|诗歌等量词,首：现代主要用于表示头；最先或第一；首领；开端；诗歌等量词。常见用法如：首都、首先、首领、首饰、一首诗。,头。,头|最先或第一|首领|开端|诗歌等量词,“首”与“页”的头部义系统需后续建立关联。
044,目,U+76EE,目,,mu4,目,5,yes,屋韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,眼睛|看|条目或目录|目标|名称类别,目：现代主要用于表示眼睛；看；条目或目录；目标；名称类别。常见用法如：目光、目的、目录、项目、耳目。,眼睛。,眼睛|看|条目或目录|目标|名称类别,目是视觉和认知隐喻的核心字，后续应关联见、视、看。
045,耳,U+8033,耳,,er3,耳,6,no,止韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,耳朵|听闻|器物两侧的把手状部分|文言语气词,耳：现代主要用于表示耳朵；听闻；器物两侧的把手状部分；文言语气词。常见用法如：耳朵、耳目、耳机、木耳、悦耳。,耳朵。,耳朵|听闻|器物两侧的把手状部分|文言语气词,“耳”作语气词的文言功能需和实体器官义分层。
046,口,U+53E3,口,,kou3,口,3,no,厚韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,嘴|出入口|人口|口头表达|器物开口,口：现代主要用于表示嘴；出入口；人口；口头表达；器物开口。常见用法如：口语、入口、人口、口才、开口。,嘴，口腔开口。,嘴|出入口|人口|口头表达|器物开口,口既是身体器官，也是言语系统和空间开口的核心部件。
047,鼻,U+9F3B,鼻,,bi2,鼻,14,no,至韵,新华字典式现代规范义,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,鼻子|像鼻子的部分|嗅觉相关|鼻祖等起始义,鼻：现代主要用于表示鼻子；像鼻子的部分；嗅觉相关；鼻祖等起始义。常见用法如：鼻子、鼻孔、鼻音、鼻祖、鼻梁。,鼻子。,鼻子|像鼻子的部分|嗅觉相关|鼻祖等起始义,“自”与“鼻”的关系是重要字源知识点，后续需单列。
