id,modern,unicode,traditional_or_variants,traditional_unicode,variant_unicodes,pinyin,radical,stroke_count,source_work,source_note,brief_gloss,simple_annotation,common_words,xinhua_base_status,shape_status,meaning_status,phonology_status,review_status,review_tags,review_notes
001,天,U+5929,天,,,tian1,大,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,天空|自然界|一天|季节或天气|某些人体部位称谓,天：现代主要用于表示天空；自然界；一天；季节或天气；某些人体部位称谓。常见用法如：天空、今天、天气、天命、天下。,天空|今天|天气|天命|天下,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
002,地,U+5730,地,,,di4|de,土,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,土地|地方|地位或处境|助词“地”,地：现代主要用于表示土地；地方；地位或处境；助词“地”。常见用法如：大地、地方、土地、地位、慢慢地。,大地|地方|土地|地位|慢慢地,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：di4、de；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
003,日,U+65E5,日,,,ri4,日,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,太阳|日子|白天|每天|日本简称,日：现代主要用于表示太阳；日子；白天；每天；日本简称。常见用法如：日光、今日、日子、日夜、日本。,日光|今日|日子|日夜|日本,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
004,月,U+6708,月,,,yue4,月,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,月亮|月份|按月发生或计算,月：现代主要用于表示月亮；月份；按月发生或计算。常见用法如：月光、月份、月亮、岁月、月刊。,月光|月份|月亮|岁月|月刊,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
005,人,U+4EBA,人,,,ren2,人,2,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,人类|别人|成年人|从事某种职业或具有某种身份的人,人：现代主要用于表示人类；别人；成年人；从事某种职业或具有某种身份的人。常见用法如：人民、人生、别人、工人、人才。,人民|人生|别人|工人|人才,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
006,文,U+6587,文,,,wen2,文,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,文字|文章|文化|文科|温和不粗野,文：现代主要用于表示文字；文章；文化；文科；温和不粗野。常见用法如：文字、文章、文化、文雅、文科。,文字|文章|文化|文雅|文科,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
007,字,U+5B57,字,,,zi4,子,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,文字记录单位|字音、字义、字形|字迹|表字或字号,字：现代主要用于表示文字记录单位；字音、字义、字形；字迹；表字或字号。常见用法如：汉字、写字、字典、字迹、名字。,汉字|写字|字典|字迹|名字,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
008,道,U+9053,道,,,dao4,辶,12,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,道路|方向或方法|道理|说|量词|道教相关称谓,道：现代主要用于表示道路；方向或方法；道理；说；量词；道教相关称谓。常见用法如：道路、道理、知道、说道、一道。,道路|道理|知道|说道|一道,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
009,法,U+6CD5,法|灋,,灋:U+704B,fa3,氵,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,法律|方法|标准或模范|效法|法国简称,法：现代主要用于表示法律；方法；标准或模范；效法；法国简称。常见用法如：法律、办法、方法、法官、合法。,法律|办法|方法|法官|合法,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：灋；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
010,国,U+56FD,國|或|囶|圀,U+570B,國:U+570B|或:U+6216|囶:U+56F6|圀:U+5700,guo2,囗,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,国家|代表国家的|本国的|某些国家简称用字,国：现代主要用于表示国家；代表国家的；本国的；某些国家简称用字。常见用法如：国家、中国、国土、国民、国有。,国家|中国|国土|国民|国有,draft,draft,draft,draft,needs_review,variant_or_traditional|simplified_merge_or_multi_variant|historical_draft_review,含繁体/异体：國、或、囶、圀；需复核简繁对应、异体来源和义项是否完全合并。|简化合并或多异体入口：国 对应 國、或、囶、圀；历史层建议拆分来源线索。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
011,官,U+5B98,官,,,guan1,宀,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,官员|官职|官方的|器官、感官|旧指任官,官：现代主要用于表示官员；官职；官方的；器官、感官；旧指任官。常见用法如：官员、法官、官方、器官、五官。,官员|法官|官方|器官|五官,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
012,民,U+6C11,民,,,min2,氏,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,人民|某一民族的人|民间的|非军人、非官方的,民：现代主要用于表示人民；某一民族的人；民间的；非军人、非官方的。常见用法如：人民、民众、民族、民间、居民。,人民|民众|民族|民间|居民,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
013,星,U+661F,星,,,xing1,日,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,天体|细碎或零散的点|明星或杰出人物,星：现代主要用于表示天体；细碎或零散的点；明星或杰出人物。常见用法如：星星、星辰、星空、明星、零星。,星星|星辰|星空|明星|零星,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
014,云,U+4E91,云|雲,U+96F2,雲:U+96F2,yun2,二,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,云彩|像云一样的事物|云计算等新义,云：现代主要用于表示云彩；像云一样的事物；云计算等新义。常见用法如：云彩、白云、风云、云端、云计算。,云彩|白云|风云|云端|云计算,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：雲；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
015,雨,U+96E8,雨,,,yu3|yu4,雨,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,雨水|下雨|像雨一样落下的事物,雨：现代主要用于表示雨水；下雨；像雨一样落下的事物。常见用法如：下雨、雨水、风雨、雨季、暴雨。,下雨|雨水|风雨|雨季|暴雨,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：yu3、yu4；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
016,雷,U+96F7,雷,,,lei2,雨,13,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,雷声|军事爆炸物|比喻突然或强烈的震动,雷：现代主要用于表示雷声；军事爆炸物；比喻突然或强烈的震动。常见用法如：雷声、打雷、雷雨、地雷、雷霆。,雷声|打雷|雷雨|地雷|雷霆,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
017,风,U+98CE,風,U+98A8,風:U+98A8,feng1,风,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,空气流动|风俗|风格|消息或传闻|景象,风：现代主要用于表示空气流动；风俗；风格；消息或传闻；景象。常见用法如：大风、风雨、风俗、风格、风景。,大风|风雨|风俗|风格|风景,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：風；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
018,山,U+5C71,山,,,shan1,山,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,山岳|形状像山的东西|姓氏或地名构件,山：现代主要用于表示山岳；形状像山的东西；姓氏或地名构件。常见用法如：高山、山水、山地、山河、山峰。,高山|山水|山地|山河|山峰,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
019,水,U+6C34,水,,,shui3,水,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,水|河流湖海等水体|液体|某些费用或品质状态,水：现代主要用于表示水；河流湖海等水体；液体；某些费用或品质状态。常见用法如：水流、河水、水分、水平、水果。,水流|河水|水分|水平|水果,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
020,川,U+5DDD,川,,,chuan1,巛,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,河流|山间或平原中的水道|四川简称,川：现代主要用于表示河流；山间或平原中的水道；四川简称。常见用法如：山川、河川、川流、四川、川菜。,山川|河川|川流|四川|川菜,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
021,石,U+77F3,石,,,shi2|dan4,石,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,石头|石制品|矿物相关|容量单位,石：现代主要用于表示石头；石制品；矿物相关；容量单位。常见用法如：石头、石山、石器、宝石、一石粮。,石头|石山|石器|宝石|一石粮,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：shi2、dan4；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
022,土,U+571F,土,,,tu3,土,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,泥土|土地|本地的|不时髦或不洋气|五行之一,土：现代主要用于表示泥土；土地；本地的；不时髦或不洋气；五行之一。常见用法如：土地、土壤、乡土、土气、水土。,土地|土壤|乡土|土气|水土,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
023,金,U+91D1,金,,,jin1,金,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,金属|黄金|钱财|金色|五行之一,金：现代主要用于表示金属；黄金；钱财；金色；五行之一。常见用法如：金属、黄金、金钱、现金、金色。,金属|黄金|金钱|现金|金色,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
024,木,U+6728,木,,,mu4,木,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,树木|木材|木制的|感觉迟钝或呆板|五行之一,木：现代主要用于表示树木；木材；木制的；感觉迟钝或呆板；五行之一。常见用法如：树木、木头、木材、木工、麻木。,树木|木头|木材|木工|麻木,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
